hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dbFlags,geom_rate,nav_modes,true_heading,timestamp
aa693c,adsb_icao,N770CC  ,N770CC,H25B,1350,1350.0,161.1,2.13,,1501,none,A2,1014.4,2016.0,4.22,27.900292,-82.531146,8,186,0.625,2.0,1.0,11.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4984138,0.2,-16.8,,-704.0,,,2024-09-21 18:03:03.773572+00:00
ac468d,adsb_icao,AAL1948 ,N890NN,B738,ground,,15.5,,,,,A3,,,,27.967072,-82.530105,8,186,1.123,2.0,,9.0,1.0,3.0,perhour,,2.0,,,[],[],25612968,1.1,-15.2,,,,182.81,2024-09-21 18:03:03.773572+00:00
a9b7d8,adsb_icao,N725TR  ,N725TR,B350,ground,,0.1,306.0,,7147,,A1,,,,27.968571,-82.522246,8,186,34.913,2.0,,,,,perhour,,,,,[],[],1945189,25.0,-22.4,8.0,,,219.38,2024-09-21 18:03:03.773572+00:00
a85000,adsb_icao,N63472  ,N63472,C150,1000,950.0,91.4,217.0,,1200,none,A1,,,,27.754258,-82.470298,9,75,0.524,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],883890,0.4,-8.3,,-128.0,,,2024-09-21 18:03:03.773572+00:00
a48f8c,adsb_icao,N393SP  ,N393SP,C172,2375,2300.0,97.3,85.29,,0136,none,A1,,,,27.157013,-82.467628,9,75,0.076,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6479939,0.0,-4.2,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a11035,adsb_icao,N168JG  ,N168JG,BE36,350,225.0,106.4,26.81,-512.0,0103,none,A1,1012.8,512.0,,28.4561,-82.457305,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],996509,0.0,-25.3,,,,,2024-09-21 18:03:03.773572+00:00
ac9de3,adsb_icao,N9118S  ,N9118S,P28A,1000,925.0,81.2,52.0,,1200,none,A1,,,,27.792058,-82.446001,9,75,0.524,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5075191,0.5,-8.8,,448.0,,,2024-09-21 18:03:03.773572+00:00
a39630,adsb_icao,DAL1266 ,N330DX,A321,25000,26400.0,482.0,170.93,0.0,2262,none,A3,1012.8,24992.0,,28.730988,-82.432004,8,186,0.071,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],34029340,0.0,-12.5,,,,,2024-09-21 18:03:03.773572+00:00
a21399,adsb_icao,N2329Z  ,N2329Z,BE23,1625,1525.0,80.2,3.58,,1200,none,A1,,,,28.741104,-82.41394,9,75,0.0,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],833564,0.0,-14.5,,192.0,,,2024-09-21 18:03:03.773572+00:00
ad3f46,adsb_icao,N9526G  ,N9526G,C172,1025,925.0,94.6,128.57,,1200,none,A1,,,,27.895523,-82.378546,9,75,0.623,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4021340,0.5,-8.8,,0.0,,,2024-09-21 18:03:03.773572+00:00
a67146,adsb_icao,N514LA  ,N514LA,DA40,4850,5000.0,145.2,221.37,-704.0,0772,none,A1,1012.0,2016.0,,27.668198,-82.35989,9,75,0.071,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3563495,0.1,-21.3,,,,,2024-09-21 18:03:03.773572+00:00
a5ae8a,adsr_icao,N4650D  ,N4650D,C172,200,25.0,60.8,43.67,-832.0,1200,none,A1,,,,28.011226,-82.348723,8,186,3.349,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2158838,3.3,-17.9,,-640.0,,,2024-09-21 18:03:03.773572+00:00
a11e5c,adsb_icao,N171RA  ,N171RA,C172,2600,2550.0,107.7,15.07,,0105,none,A1,,,,27.525081,-82.312053,9,75,0.426,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5604655,0.1,-13.0,,128.0,,,2024-09-21 18:03:03.773572+00:00
